DATE,CUSR0000SAH1_PC1
2015-02-01,2.98675
2015-03-01,2.97107
2015-04-01,3.00458
2015-05-01,2.89528
2015-06-01,3.01130
2015-07-01,3.11491
2015-08-01,3.10432
2015-09-01,3.16738
2015-10-01,3.18960
2015-11-01,3.17917
2015-12-01,3.20514
2016-01-01,3.25809
2016-02-01,3.27876
2016-03-01,3.20859
2016-04-01,3.19491
2016-05-01,3.36223
2016-06-01,3.42636
2016-07-01,3.29182
2016-08-01,3.37452
2016-09-01,3.43097
2016-10-01,3.53517
2016-11-01,3.57921
2016-12-01,3.63782
2017-01-01,3.54406
2017-02-01,3.52932
2017-03-01,3.46869
2017-04-01,3.45912
2017-05-01,3.34873
2017-06-01,3.26455
2017-07-01,3.17201
2017-08-01,3.29581
2017-09-01,3.21729
2017-10-01,3.23841
2017-11-01,3.14926
2017-12-01,3.19450
2018-01-01,3.21477
2018-02-01,3.13740
2018-03-01,3.32190
2018-04-01,3.37424
2018-05-01,3.49017
2018-06-01,3.35380
2018-07-01,3.48500
2018-08-01,3.37901
2018-09-01,3.27349
2018-10-01,3.18702
2018-11-01,3.25681
2018-12-01,3.20870
2019-01-01,3.22842
2019-02-01,3.38365
2019-03-01,3.37716
2019-04-01,3.44008
2019-05-01,3.35226
2019-06-01,3.50084
2019-07-01,3.47801
2019-08-01,3.35206
2019-09-01,3.50605
2019-10-01,3.35501
2019-11-01,3.31569
2019-12-01,3.22684
2020-01-01,3.32490
2020-02-01,3.32354
2020-03-01,3.01295
2020-04-01,2.61418
2020-05-01,2.56297
2020-06-01,2.37594
2020-07-01,2.34813
2020-08-01,2.29551
2020-09-01,2.05260
2020-10-01,2.02765
2020-11-01,1.90194
2020-12-01,1.82834
2021-01-01,1.59396
2021-02-01,1.45331
2021-03-01,1.69840
2021-04-01,2.09797
2021-05-01,2.20435
2021-06-01,2.55153
2021-07-01,2.78959
2021-08-01,2.81855
2021-09-01,3.16042
2021-10-01,3.49872
2021-11-01,3.86868
2021-12-01,4.17775
2022-01-01,4.37936
2022-02-01,4.75765
2022-03-01,4.99738
2022-04-01,5.13594
2022-05-01,5.44543
2022-06-01,5.60762
2022-07-01,5.71940
2022-08-01,6.25452
2022-09-01,6.60632
2022-10-01,6.90376
2022-11-01,7.08661
2022-12-01,7.47597
2023-01-01,7.90691
2023-02-01,8.11558
2023-03-01,8.17518
2023-04-01,8.09582
2023-05-01,8.02679
2023-06-01,7.79884
2023-07-01,7.65831
2023-08-01,7.24889
2023-09-01,7.14586
